hextimestamp,temp,light,sound,pressure,humidity
0x56b40eb5,27.44,199,438,101.48,521
0x56b40eb7,27.44,198,498,101.49,522
0x56b40eb8,27.44,198,507,101.49,524
0x56b40eba,27.44,199,518,101.48,526
0x56b40ebc,27.44,200,500,101.48,526
0x56b40ebe,27.50,198,498,101.49,529
0x56b40ec0,27.50,198,518,101.49,531
0x56b40ec1,27.44,200,395,101.49,530
0x56b40ec3,27.50,199,494,101.49,531
0x56b40ec5,27.50,200,416,101.49,532
0x56b40ec7,27.56,197,480,101.50,536
0x56b40ec8,27.50,198,464,101.49,537
0x56b40eca,27.50,199,462,101.49,536
0x56b40ecc,27.56,199,388,101.50,538
0x56b40ece,27.50,200,404,101.49,536
0x56b40ed0,27.50,198,377,101.48,538
0x56b40ed2,27.56,200,481,101.48,537
0x56b40ed3,27.50,199,508,101.47,538
0x56b40ed5,27.50,199,444,101.48,535
0x56b40ed7,27.50,200,477,101.49,539
0x56b40ed9,27.56,199,527,101.49,536
0x56b40edb,27.56,200,505,101.49,539
