hextimestamp,temp,light,sound,pressure,humidity
0x56aca5ec,28.94,98,356,100.10,542
0x56aca5ef,28.88,90,348,100.09,541
0x56aca5f3,29.00,91,342,100.12,538
0x56aca5f6,29.19,92,334,100.15,537
0x56aca5f9,29.00,88,341,100.10,537
0x56aca5fd,28.88,92,349,100.07,542
0x56aca600,28.88,95,349,100.08,542
0x56aca603,29.06,93,349,100.11,539
0x56aca606,29.00,89,341,100.10,537
0x56aca60a,28.94,96,337,100.09,540
0x56aca60d,29.00,95,336,100.09,539
0x56aca611,28.94,92,351,100.09,539
0x56aca614,29.06,91,359,100.11,537
0x56aca618,29.06,91,340,100.11,541
0x56aca61b,29.00,92,346,100.09,539
0x56aca61e,28.94,89,361,100.08,538
0x56aca622,28.94,96,338,100.08,541
0x56aca625,29.00,89,342,100.10,537
0x56aca628,29.06,94,340,100.11,538
0x56aca62b,29.00,94,374,100.10,540
0x56aca62f,28.94,97,335,100.09,539
0x56aca632,28.81,88,340,100.07,540
0x56aca635,28.88,95,347,100.08,542
0x56aca639,29.00,92,351,100.11,543
0x56aca63c,28.88,93,344,100.09,541
0x56aca63f,28.81,96,340,100.08,541
0x56aca642,28.88,89,338,100.09,539
0x56aca646,29.00,94,342,100.12,542
0x56aca649,28.75,96,341,100.08,541
0x56aca64c,28.81,95,341,100.09,539
0x56aca650,28.88,90,348,100.10,538
0x56aca653,28.94,95,343,100.11,532
0x56aca656,28.94,88,348,100.11,540
0x56aca65a,28.94,92,340,100.10,539
0x56aca65d,28.88,89,342,100.08,543
0x56aca660,28.88,94,341,100.09,541
0x56aca665,28.94,90,360,100.10,542
0x56aca669,28.81,92,347,100.08,540
0x56aca66c,28.94,99,351,100.10,540
0x56aca66f,28.94,99,345,100.10,543
0x56aca673,28.94,90,348,100.08,539
0x56aca676,28.75,96,358,100.06,539
0x56aca679,29.00,96,348,100.11,539
0x56aca67d,28.88,89,349,100.08,539
0x56aca680,29.00,94,346,100.09,540
0x56aca683,28.88,94,347,100.08,536
0x56aca687,28.94,89,340,100.08,538
0x56aca68a,29.00,92,339,100.09,538
0x56aca68d,28.94,96,340,100.08,541
0x56aca691,29.13,89,344,100.11,538
0x56aca694,29.00,91,338,100.08,541
0x56aca697,29.00,95,339,100.10,537
0x56aca69b,28.94,96,351,100.09,539
0x56aca69e,29.06,97,338,100.10,539
0x56aca6a1,28.88,96,338,100.08,538
0x56aca6a4,28.94,93,338,100.09,539
0x56aca6a8,28.81,87,336,100.06,542
0x56aca6ab,29.00,96,336,100.10,538
0x56aca6ae,28.94,93,351,100.08,539
0x56aca6b2,29.00,89,339,100.10,539
0x56aca6b5,29.00,88,345,100.10,541
0x56aca6b8,29.06,90,348,100.10,542
0x56aca6bc,29.06,89,352,100.10,541
0x56aca6bf,29.13,95,340,100.12,539
0x56aca6c3,29.13,96,340,100.13,539
0x56aca6c6,29.13,90,341,100.12,542
0x56aca6ca,28.94,88,358,100.09,539
0x56aca6cd,29.00,95,355,100.10,539
0x56aca6d0,29.06,91,348,100.11,540
0x56aca6d3,28.94,97,338,100.08,540
0x56aca6d7,29.06,94,335,100.11,539
0x56aca6db,28.88,98,342,100.06,540
0x56aca6de,29.00,90,344,100.10,539
0x56aca6e1,29.00,97,346,100.09,539
0x56aca6e5,28.94,88,337,100.08,540
0x56aca6e8,29.06,93,337,100.11,537
0x56aca6eb,29.13,96,347,100.11,539
0x56aca6ef,28.94,91,340,100.07,540
0x56aca6f2,29.06,97,369,100.12,538
0x56aca6f5,28.81,90,354,100.07,541
0x56aca6f9,28.94,89,374,100.10,539
0x56aca6fc,28.94,96,338,100.09,540
0x56aca6ff,29.06,89,336,100.11,538
0x56aca703,29.13,96,343,100.13,536
0x56aca706,29.00,93,353,100.10,541
0x56aca709,29.06,92,343,100.12,540
0x56aca70d,29.13,96,335,100.13,542
0x56aca710,29.00,95,338,100.10,539
0x56aca713,28.88,92,338,100.08,538
0x56aca717,29.06,96,338,100.11,541
0x56aca71a,29.00,88,342,100.10,543
0x56aca71d,29.00,89,346,100.10,537
0x56aca721,28.88,96,339,100.08,543
0x56aca724,28.94,93,342,100.10,541
0x56aca727,28.81,87,339,100.07,539
0x56aca72a,29.00,94,353,100.10,540
0x56aca72e,29.00,92,361,100.11,542
0x56aca731,28.94,88,339,100.09,539
0x56aca734,29.06,92,340,100.11,540
0x56aca738,28.75,93,376,100.05,538
0x56aca73b,28.81,91,348,100.06,539
0x56aca73e,28.94,90,333,100.08,542
0x56aca741,29.25,96,351,100.15,540
0x56aca745,29.13,89,334,100.12,538
0x56aca748,29.00,88,335,100.09,542
0x56aca74c,28.88,96,348,100.07,543
0x56aca74f,29.19,93,349,100.13,539
0x56aca752,29.00,96,346,100.09,542
0x56aca756,29.06,88,336,100.10,541
0x56aca759,29.13,97,407,100.11,539
0x56aca75c,29.06,89,337,100.10,543
0x56aca75f,29.00,95,357,100.10,539
0x56aca763,29.19,90,352,100.13,541
0x56aca766,28.94,95,458,100.08,539
0x56aca769,28.94,91,342,100.08,540
0x56aca76d,29.13,90,347,100.11,539
0x56aca770,28.81,93,510,100.04,539
0x56aca773,29.13,89,345,100.11,540
0x56aca777,29.06,95,375,100.10,537
0x56aca77a,29.06,93,356,100.09,538
0x56aca77d,29.06,89,347,100.09,538
0x56aca781,29.13,93,347,100.11,538
0x56aca784,29.00,91,343,100.08,543
0x56aca787,29.06,95,351,100.11,541
0x56aca78b,29.19,93,356,100.13,541
0x56aca78e,29.00,95,344,100.10,542
0x56aca791,28.81,92,340,100.06,541
0x56aca795,28.94,92,338,100.10,543
0x56aca798,29.06,91,333,100.11,539
0x56aca79b,29.06,97,372,100.11,542
0x56aca79f,29.06,93,464,100.10,539
0x56aca7a2,29.00,89,349,100.09,543
0x56aca7a5,28.81,100,350,100.05,54
0x56aca7a9,29.00,97,343,100.08,541
0x56aca7ac,28.94,92,353,100.07,543
0x56aca7af,29.25,94,345,100.14,545
0x56aca7b2,29.13,92,342,100.10,545
0x56aca7b6,28.81,92,374,100.05,541
0x56aca7b9,28.94,97,338,100.08,541
0x56aca7bc,29.06,92,380,100.09,544
0x56aca7c0,29.06,89,343,100.09,546
0x56aca7c3,29.06,94,339,100.08,542
0x56aca7c6,29.13,90,337,100.11,541
0x56aca7ca,29.06,89,343,100.08,538
0x56aca7cd,29.13,93,335,100.09,540
0x56aca7d0,29.06,89,334,100.07,538
0x56aca7d4,29.13,92,340,100.08,539
0x56aca7d7,29.19,93,339,100.09,542
0x56aca7da,29.06,89,364,100.06,543
0x56aca7de,29.25,90,350,100.10,541
0x56aca7e1,29.25,91,335,100.10,539
0x56aca7e4,29.31,88,358,100.12,541
0x56aca7e8,29.06,90,336,100.06,538
0x56aca7eb,29.25,92,337,100.11,533
0x56aca7ee,29.13,89,343,100.08,535
0x56aca7f2,29.13,93,350,100.08,537
0x56aca7f5,29.25,89,340,100.10,538
0x56aca7f9,29.25,92,343,100.09,538
0x56aca7fc,29.25,97,334,100.09,535
0x56aca800,29.19,97,349,100.09,536
0x56aca803,29.19,91,369,100.08,539
0x56aca806,29.38,97,349,100.11,534
0x56aca80a,29.25,91,483,100.10,539
0x56aca80d,29.25,90,342,100.08,538
0x56aca810,29.19,91,347,100.08,538
0x56aca813,29.13,96,340,100.08,538
0x56aca817,29.00,90,340,100.05,535
0x56aca81a,29.31,93,339,100.11,537
0x56aca81d,29.13,89,348,100.07,538
0x56aca821,29.19,95,335,100.09,534
0x56aca824,29.13,96,336,100.07,537
0x56aca827,29.19,96,337,100.08,540
0x56aca82b,29.25,90,353,100.09,537
0x56aca82e,29.25,93,336,100.10,536
0x56aca831,29.06,90,344,100.05,535
0x56aca835,29.31,96,345,100.10,537
0x56aca838,29.31,93,343,100.10,535
0x56aca83b,29.38,88,372,100.12,534
0x56aca83f,29.31,94,333,100.09,538
0x56aca842,29.31,90,340,100.10,537
0x56aca845,29.31,96,340,100.09,534
0x56aca849,29.31,96,366,100.08,536
0x56aca84c,29.31,96,344,100.09,534
0x56aca84f,29.31,89,346,100.09,535
0x56aca853,29.31,95,350,100.09,556
0x56aca856,29.25,95,338,100.09,535
0x56aca859,29.25,96,338,100.09,535
0x56aca85d,29.31,97,358,100.11,538
0x56aca860,29.31,95,336,100.10,537
0x56aca863,29.25,95,339,100.10,530
0x56aca867,29.38,96,342,100.12,536
0x56aca86a,29.25,89,339,100.11,537
0x56aca86d,29.19,89,345,100.08,534
0x56aca870,29.38,96,338,100.12,537
0x56aca874,29.19,96,376,100.08,536
0x56aca877,29.25,94,346,100.09,535
0x56aca87a,29.31,95,342,100.11,535
0x56aca87e,29.00,93,349,100.05,534
0x56aca881,29.19,94,340,100.09,538
0x56aca884,29.25,92,451,100.10,536
0x56aca888,29.19,96,344,100.10,536
0x56aca88b,28.94,95,339,100.05,538
0x56aca88e,29.13,89,343,100.09,537
0x56aca892,29.00,89,344,100.07,539
0x56aca895,29.13,88,344,100.10,535
0x56aca899,29.19,89,348,100.11,535
0x56aca89c,29.19,88,342,100.11,538
0x56aca89f,29.00,88,338,100.07,541
0x56aca8a3,29.19,91,334,100.11,536
0x56aca8a6,29.13,88,346,100.10,536
0x56aca8a9,29.06,93,342,100.08,537
0x56aca8ad,29.00,89,350,100.07,541
0x56aca8b0,29.13,93,348,100.09,538
0x56aca8b3,29.25,92,336,100.12,534
0x56aca8b7,29.19,89,356,100.10,537
0x56aca8ba,29.06,94,333,100.08,535
0x56aca8bd,29.25,95,335,100.11,548
0x56aca8c1,29.25,89,343,100.11,535
0x56aca8c4,29.19,88,335,100.09,539
0x56aca8c7,29.25,90,336,100.10,540
0x56aca8cb,29.31,96,334,100.12,535
0x56aca8ce,29.19,90,346,100.08,538
0x56aca8d1,29.19,88,350,100.10,536
0x56aca8d5,29.13,97,342,100.08,536
0x56aca8d8,29.13,95,338,100.07,539
0x56aca8db,29.31,96,335,100.11,538
0x56aca8df,29.25,93,346,100.09,536
0x56aca8e2,29.25,91,347,100.10,537
0x56aca8e5,29.06,89,341,100.06,571
0x56aca8e9,29.19,96,336,100.08,536
0x56aca8ec,29.19,96,363,100.09,535
0x56aca8ef,29.25,88,334,100.11,538
0x56aca8f3,29.13,91,340,100.09,539
0x56aca8f6,29.25,94,343,100.11,540
0x56aca8f9,29.19,91,347,100.10,534
0x56aca8fd,29.25,91,348,100.10,539
0x56aca900,29.19,92,351,100.09,538
0x56aca903,29.13,96,337,100.07,537
0x56aca907,29.06,88,343,100.07,538
0x56aca90a,29.25,96,337,100.10,537
0x56aca90d,29.13,90,344,100.07,536
0x56aca911,29.25,91,342,100.10,536
0x56aca914,29.19,88,337,100.10,537
0x56aca917,29.19,93,344,100.09,536
0x56aca91b,29.19,88,339,100.10,539
0x56aca91e,29.19,93,343,100.10,539
0x56aca921,29.19,89,335,100.09,537
0x56aca924,29.25,91,344,100.11,539
0x56aca928,29.19,88,345,100.10,538
0x56aca92b,29.19,96,341,100.10,540
0x56aca92e,29.13,96,335,100.09,540
0x56aca932,29.19,88,336,100.11,536
